vehicle_id,source_lat,source_lng,target_lat,target_lng
1,30.390433,-9.522205570492089,30.40024641,-9.53721368
1,30.40024641,-9.53721368,30.408487,-9.557469
1,30.408487,-9.557469,30.40883688,-9.55972174
1,30.40883688,-9.55972174,30.4148421,-9.56720927
1,30.4148421,-9.56720927,30.41587848,-9.57036718
1,30.41587848,-9.57036718,30.41551359,-9.57083855
1,30.41551359,-9.57083855,30.41845366,-9.57566409
1,30.41845366,-9.57566409,30.42528701,-9.57821069
1,30.42528701,-9.57821069,30.429258,-9.577792
1,30.429258,-9.577792,30.42945384,-9.57755977
1,30.42945384,-9.57755977,30.42907423,-9.57969358
1,30.42907423,-9.57969358,30.42865916,-9.57980788
1,30.42865916,-9.57980788,30.42746558,-9.5826055
1,30.42746558,-9.5826055,30.42663741,-9.58252227
1,30.42663741,-9.58252227,30.42638299,-9.58279453
1,30.42638299,-9.58279453,30.42600693,-9.58307251
1,30.42600693,-9.58307251,30.42445856,-9.58608812
1,30.42445856,-9.58608812,30.42379372,-9.58684806
1,30.42379372,-9.58684806,30.423443,-9.587962
1,30.423443,-9.587962,30.42334,-9.5901366667
1,30.42334,-9.5901366667,30.42517759,-9.59308496
1,30.42517759,-9.59308496,30.4246894,-9.59461674
1,30.4246894,-9.59461674,30.42471521,-9.59457211
1,30.42471521,-9.59457211,30.42468972,-9.59461717
1,30.42468972,-9.59461717,30.42468976,-9.59461714
1,30.42468976,-9.59461714,30.4233066667,-9.5956233333
1,30.4233066667,-9.5956233333,30.42330597,-9.59570069
1,30.42330597,-9.59570069,30.42597251,-9.60010933
1,30.42597251,-9.60010933,30.42285157,-9.59967769
1,30.42285157,-9.59967769,30.42285151,-9.59967766
1,30.42285151,-9.59967766,30.42208373,-9.60067507
1,30.42208373,-9.60067507,30.42211746,-9.60056718
1,30.42211746,-9.60056718,30.42233617,-9.6032109
1,30.42233617,-9.6032109,30.42347052,-9.60120173
1,30.42347052,-9.60120173,30.42460028,-9.60423384
1,30.42460028,-9.60423384,30.42676173,-9.60862797
1,30.42676173,-9.60862797,30.42603445,-9.6137597
1,30.42603445,-9.6137597,30.42338904,-9.62865462
1,30.42338904,-9.62865462,30.4233843,-9.62864631
1,30.4233843,-9.62864631,30.42335999,-9.62864432
1,30.42335999,-9.62864432,30.42338895,-9.62865447
1,30.42338895,-9.62865447,30.4235617,-9.62882556
1,30.4235617,-9.62882556,30.42358896,-9.62879218
1,30.42358896,-9.62879218,30.42676378,-9.63455688
1,30.42676378,-9.63455688,30.42417527,-9.62834714
1,30.42417527,-9.62834714,30.42593107,-9.62020135
1,30.42593107,-9.62020135,30.42428408,-9.61576424
1,30.42428408,-9.61576424,30.42072473,-9.60772058
1,30.42072473,-9.60772058,30.42065081,-9.60833346
1,30.42065081,-9.60833346,30.41529689,-9.60232045
1,30.41529689,-9.60232045,30.41529662,-9.60232465
1,30.41529662,-9.60232465,30.41528635,-9.60230113
1,30.41528635,-9.60230113,30.414425,-9.5989633333
1,30.414425,-9.5989633333,30.4112516667,-9.598714
1,30.4112516667,-9.598714,30.410881,-9.596538
1,30.410881,-9.596538,30.407859,-9.5986
1,30.407859,-9.5986,30.399762,-9.587843
1,30.399762,-9.587843,30.39890655,-9.58730965
1,30.39890655,-9.58730965,30.3994,-9.5874133333
1,30.3994,-9.5874133333,30.3897516667,-9.5734383333
1,30.3897516667,-9.5734383333,30.372607,-9.570562
1,30.372607,-9.570562,30.372542,-9.570536
1,30.372542,-9.570536,30.371472,-9.571106
1,30.371472,-9.571106,30.37119,-9.57162
1,30.37119,-9.57162,30.37213,-9.572238
1,30.37213,-9.572238,30.372193,-9.572343
1,30.372193,-9.572343,30.372218,-9.57233
1,30.372218,-9.57233,30.372295,-9.572306
1,30.372295,-9.572306,30.372369,-9.572268
1,30.372369,-9.572268,30.372403,-9.572375
1,30.372403,-9.572375,30.372508,-9.572656
1,30.372508,-9.572656,30.373539,-9.57818
1,30.373539,-9.57818,30.373651,-9.578197
1,30.373651,-9.578197,30.373078,-9.578505
1,30.373078,-9.578505,30.373231,-9.578476
1,30.373231,-9.578476,30.3891653,-9.5693249
1,30.3891653,-9.5693249,30.390578,-9.56679
1,30.390578,-9.56679,30.393153,-9.563371
1,30.393153,-9.563371,30.393521,-9.559739
1,30.393521,-9.559739,30.39966369,-9.55232344
1,30.39966369,-9.55232344,30.390433,-9.522205570492089
2,30.390433,-9.522205570492089,30.36824296,-9.53285203
2,30.36824296,-9.53285203,30.35220931,-9.53767816
2,30.35220931,-9.53767816,30.35216399,-9.54235425
2,30.35216399,-9.54235425,30.35121323,-9.54181186
2,30.35121323,-9.54181186,30.35100949,-9.54184742
2,30.35100949,-9.54184742,30.35039231,-9.54128226
2,30.35039231,-9.54128226,30.34930876,-9.54251277
2,30.34930876,-9.54251277,30.34900123,-9.54257821
2,30.34900123,-9.54257821,30.34793544,-9.54176327
2,30.34793544,-9.54176327,30.34601576,-9.54333379
2,30.34601576,-9.54333379,30.34551376,-9.54361577
2,30.34551376,-9.54361577,30.34550264,-9.54389569
2,30.34550264,-9.54389569,30.34560325,-9.54456744
2,30.34560325,-9.54456744,30.34506812,-9.5449777
2,30.34506812,-9.5449777,30.34523056,-9.54557167
2,30.34523056,-9.54557167,30.34521799,-9.54555454
2,30.34521799,-9.54555454,30.34564596,-9.54834738
2,30.34564596,-9.54834738,30.3457545,-9.54906885
2,30.3457545,-9.54906885,30.34594859,-9.55058721
2,30.34594859,-9.55058721,30.34695646,-9.55042805
2,30.34695646,-9.55042805,30.3467592,-9.55125066
2,30.3467592,-9.55125066,30.34736621,-9.55131756
2,30.34736621,-9.55131756,30.34736844,-9.55183967
2,30.34736844,-9.55183967,30.3479739,-9.55068355
2,30.3479739,-9.55068355,30.34843557,-9.54935326
2,30.34843557,-9.54935326,30.34812047,-9.54859795
2,30.34812047,-9.54859795,30.34705039,-9.54939926
2,30.34705039,-9.54939926,30.34706378,-9.54802138
2,30.34706378,-9.54802138,30.34702564,-9.54776205
2,30.34702564,-9.54776205,30.34837699,-9.54650043
2,30.34837699,-9.54650043,30.34895366,-9.54634953
2,30.34895366,-9.54634953,30.34894821,-9.54604115
2,30.34894821,-9.54604115,30.34731191,-9.54498251
2,30.34731191,-9.54498251,30.3515325,-9.54509385
2,30.3515325,-9.54509385,30.35122372,-9.54451975
2,30.35122372,-9.54451975,30.35126932,-9.54362746
2,30.35126932,-9.54362746,30.35232732,-9.54303666
2,30.35232732,-9.54303666,30.35338247,-9.54300233
2,30.35338247,-9.54300233,30.35393333,-9.54295916
2,30.35393333,-9.54295916,30.35364379,-9.54266843
